utt_id,Real,Azure,Raw prediction,LoRA prediction,LoRA+Prompt prediction,WER__Azure,S__Azure,D__Azure,I__Azure,Subs__Azure,Dels__Azure,Ins__Azure,WER__Raw prediction,S__Raw prediction,D__Raw prediction,I__Raw prediction,Subs__Raw prediction,Dels__Raw prediction,Ins__Raw prediction,WER__LoRA prediction,S__LoRA prediction,D__LoRA prediction,I__LoRA prediction,Subs__LoRA prediction,Dels__LoRA prediction,Ins__LoRA prediction,WER__LoRA+Prompt prediction,S__LoRA+Prompt prediction,D__LoRA+Prompt prediction,I__LoRA+Prompt prediction,Subs__LoRA+Prompt prediction,Dels__LoRA+Prompt prediction,Ins__LoRA+Prompt prediction,delta_WER__Large_v3_stage,comparison__Large_v3_stage,delta_WER__Prompt_stage,comparison__Prompt_stage,delta_WER__Azure_to_LoRA,comparison__Azure_to_LoRA,delta_WER__Azure_to_Final,comparison__Azure_to_Final
01-01,Busan Tower Singapore 616 runway in sight joining downwind Runway 18R,Busan Towers Singapore 616 runway inside joining down runway one in right.,busan tower singapore 616 runway inside joining downwind runway 1e right,busan tower singapore 616 runway inside joining down runway one in right,busan tower singa 4616 runway in sight joining downwind runway one in right,0.6363636363636364,4,1,2,tower->towers | sight->inside | downwind->down | 18r->right,in,one | in,0.36363636363636365,2,1,1,sight->inside | 18r->right,in,1e,0.5454545454545454,3,1,2,sight->inside | downwind->down | 18r->right,in,one | in,0.45454545454545453,3,0,2,singapore->singa | 616->4616 | 18r->right,,one | in,-0.2727272727272727,Improvement,-0.09090909090909088,Improvement,-0.09090909090909094,Improvement,-0.18181818181818182,Improvement
01-02,"Roger, activate Route 2.","Roger, activate Route 2.",roger activity route 2,roger activate route 2,roger activate route 2,0.0,0,0,0,,,,0.25,1,0,0,activate->activity,,,0.0,0,0,0,,,,0.0,0,0,0,,,,0.25,Worsen,0.0,Same,0.0,Same,0.0,Same
01-03,Roger. Direct AB18R,"Roger directs a bit Money, right?",roger diving will be money right,roger direct ab18r,roger direct ab18r,1.6666666666666667,2,0,3,direct->money | ab18r->right,,directs | a | bit,1.6666666666666667,2,0,3,direct->money | ab18r->right,,diving | will | be,0.0,0,0,0,,,,0.0,0,0,0,,,,0.0,Same,0.0,Same,-1.6666666666666667,Improvement,-1.6666666666666667,Improvement
01-04,Flaps 30. Flaps at 30,Flights 30. Febsat 30.,flaps 30 flaps 30,flaps 30 flaps at 30,flaps 30,0.6,2,1,0,flaps->flights | at->febsat,flaps,,0.2,0,1,0,,at,,0.0,0,0,0,,,,0.6,0,3,0,,flaps | 30 | at,,-0.39999999999999997,Improvement,0.6,Worsen,-0.6,Improvement,0.0,Same
01-05,VS 700 check. Roger Landing Checklist below the line. Landing Gear.,Via 700 check. Roger Dancing checklist below the line landing gear.,ds700 check roger landing checklist preloaded line landing here,bs 700 check roger landing checklist preloaded line landing here,bs 700 check roger landing checklist preloaded line landing here,0.18181818181818182,2,0,0,vs->via | landing->dancing,,,0.45454545454545453,3,2,0,700->ds700 | the->preloaded | gear->here,vs | below,,0.36363636363636365,3,1,0,vs->bs | the->preloaded | gear->here,below,,0.36363636363636365,3,1,0,vs->bs | the->preloaded | gear->here,below,,0.2727272727272727,Worsen,0.0,Same,0.18181818181818182,Worsen,0.18181818181818182,Worsen
01-06,30 Green light exterior lights on landing clearance.,30 Green light exterior lights on landing clearance.,30 green light exterior lights on landing clearance,30 green light extra lights on landing clearance,30 green light x3 lights on landing clearance,0.0,0,0,0,,,,0.0,0,0,0,,,,0.125,1,0,0,exterior->extra,,,0.125,1,0,0,exterior->x3,,,0.0,Same,0.0,Same,0.125,Worsen,0.125,Worsen
01-07,Obtained runway 18R. Landing checklist complete.,Obtain runway 1/8. Right landing track is complete.,optane runway 18r landing channel is complete,obtain runway 18r landing checklist complete,optain runway 18r landing checklist complete,1.0,3,0,3,obtained->obtain | 18r->right | checklist->is,,1 | 8 | track,0.5,2,0,1,obtained->optane | checklist->is,,channel,0.16666666666666666,1,0,0,obtained->obtain,,,0.16666666666666666,1,0,0,obtained->optain,,,-0.5,Improvement,0.0,Same,-0.8333333333333334,Improvement,-0.8333333333333334,Improvement
01-08,Captain wrong runway. Captain wrong runway.,Captain run runway. Katyn Long runway.,captain ron renwee captain ron renwee,captain wrong runway captain wrong runway,captain wrong runway captain wrong runway,0.5,3,0,0,wrong->run | captain->katyn | wrong->long,,,0.6666666666666666,4,0,0,wrong->ron | runway->renwee | wrong->ron | runway->renwee,,,0.0,0,0,0,,,,0.0,0,0,0,,,,0.16666666666666663,Worsen,0.0,Same,-0.5,Improvement,-0.5,Improvement
01-09,Busan Tower Singapore 616 runway in sight joining downwind Runway 18R,The Sun Tower Singapore 616 runway inside joining downway 1/8 right.,busan tower singapore 616 runway inside joining darwin runway 18r,bussan targo singapore 616 runway in sight joining downwind runway 18r,bussant taro singa 4616 runway in sight joining downwind runway 18 right,0.7272727272727273,7,0,1,busan->sun | in->inside | sight->joining | joining->downway | downwind->1 | runway->8 | 18r->right,,the,0.2727272727272727,2,1,0,sight->inside | downwind->darwin,in,,0.18181818181818182,2,0,0,busan->bussan | tower->targo,,,0.5454545454545454,5,0,1,busan->bussant | tower->taro | singapore->singa | 616->4616 | 18r->right,,18,-0.4545454545454546,Improvement,0.3636363636363636,Worsen,-0.5454545454545454,Improvement,-0.18181818181818188,Improvement
01-10,Roger. Activate Route 2,Roger,roger activating route 2,roger activating route 2,roger activate route 2,0.75,0,3,0,,activate | route | 2,,0.25,1,0,0,activate->activating,,,0.25,1,0,0,activate->activating,,,0.0,0,0,0,,,,-0.5,Improvement,-0.25,Improvement,-0.5,Improvement,-0.75,Improvement
01-11,Execute confirm. Route 2 Activated. Route 2 Activated.,Execute confirm. Go to Activated. Route to activated.,execute confirm good to activate it good to activate it,execute confirm route 2 activated route 2 activated,execute confirm route to activated route to activated,0.375,3,0,0,route->go | 2->to | 2->to,,,1.0,6,0,2,route->activate | 2->it | activated->good | route->to | 2->activate | activated->it,,good | to,0.0,0,0,0,,,,0.25,2,0,0,2->to | 2->to,,,0.625,Worsen,0.25,Worsen,-0.375,Improvement,-0.125,Improvement
01-12,Roger. Direct to AB18R,Roger direct to Urban Manam Drive.,roger direct to abim morning road,roger direct to abm 1 in roy,roger direct to abim one in right,0.75,1,0,2,ab18r->drive,,urban | manam,0.75,1,0,2,ab18r->road,,abim | morning,1.0,1,0,3,ab18r->roy,,abm | 1 | in,1.0,1,0,3,ab18r->right,,abim | one | in,0.0,Same,0.0,Same,0.25,Worsen,0.25,Worsen
01-13,Roger landing checklist. VS700 Check. Down Speedbreaks. Flaps,Roger learning Chinese. BS700 check. Down spin breaks.,roger landing chain list ds700 check downspeed brakes flaps,roger landing checklist vs 700 check down speed breaks flaps,roger landing shanglis vs 700 check down speedbrakes flaps,0.625,5,0,0,landing->learning | checklist->chinese | vs700->bs700 | speedbreaks->spin | flaps->breaks,,,0.625,4,0,1,checklist->list | vs700->ds700 | down->downspeed | speedbreaks->brakes,,chain,0.5,2,0,2,vs700->700 | speedbreaks->breaks,,vs | speed,0.5,3,0,1,checklist->vs | vs700->700 | speedbreaks->speedbrakes,,shanglis,0.0,Same,0.0,Same,-0.125,Improvement,-0.125,Improvement
01-14,30 Green light exterior lights on landing clearance.,30 Green light exterior lights on landing clearance.,30 green light exterior lights on landing clearance,30gl exterior lights on landing clearance,30 green light exterior lights on landing clearance,0.0,0,0,0,,,,0.0,0,0,0,,,,0.375,1,2,0,light->30gl,30 | green,,0.0,0,0,0,,,,0.0,Same,-0.375,Improvement,0.375,Worsen,0.0,Same
01-15,Obtain runway 18R. Landing checklist complete.,Obtain runway 180 right landing checklist complete.,optane runway 18r landing checklist complete,obtained runway 18r landing check is complete,obtain runway 18r landing checklist complete,0.3333333333333333,1,0,1,18r->right,,180,0.16666666666666666,1,0,0,obtain->optane,,,0.5,2,0,1,obtain->obtained | checklist->is,,check,0.0,0,0,0,,,,-0.16666666666666666,Improvement,-0.5,Improvement,0.16666666666666669,Worsen,-0.3333333333333333,Improvement
01-16,Roger. Cycling FDs,Roger Cycling Abdies.,roger the cycling mds,roger cycling fds,roger cycling fds,0.3333333333333333,1,0,0,fds->abdies,,,0.6666666666666666,1,0,1,fds->mds,,the,0.0,0,0,0,,,,0.0,0,0,0,,,,0.3333333333333333,Worsen,0.0,Same,-0.3333333333333333,Improvement,-0.3333333333333333,Improvement
03-01,Runway in sight. Joining run. Joining downwind runway 18R.,"Are we inside joining, run joining downwind runway 1/8, right?",i will inside joining downwind runway 18r singapore,airway inside joining run joining downwind runway 18r singapore,i will be inside joining run joining downwind runway 18r singapore,0.6666666666666666,4,0,2,runway->are | in->we | sight->inside | 18r->right,,1 | 8,0.6666666666666666,3,2,1,sight->i | joining->will | run->inside,runway | in,singapore,0.4444444444444444,2,1,1,in->airway | sight->inside,runway,singapore,0.5555555555555556,3,0,2,runway->will | in->be | sight->inside,,i | singapore,0.0,Same,0.11111111111111116,Worsen,-0.2222222222222222,Improvement,-0.11111111111111105,Improvement
03-02,Good to joining downwind runway 18R. To land Runway 18R. ,Put it joint down. We didn't run me while you're right Lynn Rahway when it right.,click join downwind runway 18r land runway 18r,good day join tauin runway 18r land runway 18r,good day join downwind runway 18r land runway 18r,1.8,10,0,8,good->me | to->while | joining->you | downwind->re | runway->right | 18r->lynn | to->rahway | land->when | runway->it | 18r->right,,put | it | joint | down | we | didn | t | run,0.4,2,2,0,to->click | joining->join,good | to,,0.4,3,1,0,to->day | joining->join | downwind->tauin,to,,0.3,2,1,0,to->day | joining->join,to,,-1.4,Improvement,-0.10000000000000003,Improvement,-1.4,Improvement,-1.5,Improvement
03-03,and passing final approach fix WAYBI 2600 feet that was checked.,And a passing language picks may be 2600 feet that was checked.,and passing for average peaks will be 2600 feet that was checked,and passing final approach pick swab 2600ft that was checked,and passing final approach pick swab 2600 feet that was checked,0.45454545454545453,4,0,1,final->language | approach->picks | fix->may | waybi->be,,a,0.45454545454545453,4,0,1,final->average | approach->peaks | fix->will | waybi->be,,for,0.36363636363636365,3,1,0,waybi->pick | 2600->swab | feet->2600ft,fix,,0.18181818181818182,2,0,0,fix->pick | waybi->swab,,,0.0,Same,-0.18181818181818182,Improvement,-0.09090909090909088,Improvement,-0.2727272727272727,Improvement
03-04,Heading Sel. Alt hold. Route 2 Activate,Outlook Excel out hole route 2 activate.,excel outfall root 2 activate,thanks llf route 2 activate,heading sel alt hold route 2 activate,0.5714285714285714,4,0,0,heading->outlook | sel->excel | alt->out | hold->hole,,,0.7142857142857143,3,2,0,alt->excel | hold->outfall | route->root,heading | sel,,0.5714285714285714,2,2,0,alt->thanks | hold->llf,heading | sel,,0.0,0,0,0,,,,0.1428571428571429,Worsen,-0.5714285714285714,Improvement,0.0,Same,-0.5714285714285714,Improvement
03-05,Confirm,Confirm,confirm,confirm,confirm,0.0,0,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,,,,0.0,Same,0.0,Same,0.0,Same,0.0,Same
03-06,Confirm,Confirm,awesome,confirm,confirm,0.0,0,0,0,,,,1.0,1,0,0,confirm->awesome,,,0.0,0,0,0,,,,0.0,0,0,0,,,,1.0,Worsen,0.0,Same,0.0,Same,0.0,Same
03-07,LNAV available. And alt hold. Missed approach altitude is 6000 feet. ,Connect available and our home is approached. Our attitude is 6000 feet.,and if available and not hold miss approach altitude is 6 000 feet,air net available and ockhole miss approach aperture is 6000 feet,air net available and alt hold miss approach altitude it is 6000 feet,0.6363636363636364,6,0,1,lnav->connect | alt->home | hold->is | missed->approached | approach->our | altitude->attitude,,our,0.5454545454545454,4,0,2,lnav->if | alt->not | missed->miss | 6000->000,,and | 6,0.5454545454545454,4,1,1,lnav->net | hold->ockhole | missed->miss | altitude->aperture,alt,air,0.36363636363636365,2,0,2,lnav->net | missed->miss,,air | it,-0.09090909090909094,Improvement,-0.18181818181818177,Improvement,-0.09090909090909094,Improvement,-0.2727272727272727,Improvement
03-08,LNAV.  Thousand check,MF6000 checked.,7f 6000 checked,7f 6000 checked,7f 6000 checked,1.0,2,1,0,thousand->mf6000 | check->checked,lnav,,1.0,3,0,0,lnav->7f | thousand->6000 | check->checked,,,1.0,3,0,0,lnav->7f | thousand->6000 | check->checked,,,1.0,3,0,0,lnav->7f | thousand->6000 | check->checked,,,0.0,Same,0.0,Same,0.0,Same,0.0,Same
03-09,The next altitude is 1200. ,The next altitude is 1000. 200. ,next altitude is 1200m,and next altitude is 1200,and next altitude is 1200,0.4,1,0,1,1200->200,,1000,0.4,1,1,0,1200->1200m,the,,0.2,1,0,0,the->and,,,0.2,1,0,0,the->and,,,0.0,Same,0.0,Same,-0.2,Improvement,-0.2,Improvement
03-10,Yes. Minus 700 check. ,"Yes, my son, check.",yes myself check,yes my 700 check,vs my 700 check,0.5,2,0,0,minus->my | 700->son,,,0.5,1,1,0,700->myself,minus,,0.25,1,0,0,minus->my,,,0.5,2,0,0,yes->vs | minus->my,,,0.0,Same,0.25,Worsen,-0.25,Improvement,0.0,Same
03-11,May I check is the right landing gear?,At Chase Building Gear.,that takes me to the lane i didn t give a,i ll check speed of the line ending gear,i ll check speed of the line ending gear,0.875,3,4,0,the->at | right->chase | landing->building,may | i | check | is,,1.25,7,0,3,may->that | i->takes | check->me | is->to | right->t | landing->give | gear->a,,lane | i | didn,0.75,5,0,1,may->i | i->ll | is->of | right->line | landing->ending,,speed,0.75,5,0,1,may->i | i->ll | is->of | right->line | landing->ending,,speed,0.375,Worsen,0.0,Same,-0.125,Improvement,-0.125,Improvement
03-12,Down. Speedbreak.,Balance speed brick.,now on speed brick,down on speed break,down speedbrake,1.5,2,0,1,down->speed | speedbreak->brick,,balance,2.0,2,0,2,down->speed | speedbreak->brick,,now | on,1.5,1,0,2,speedbreak->break,,on | speed,0.5,1,0,0,speedbreak->speedbrake,,,0.5,Worsen,-1.0,Improvement,0.0,Same,-1.0,Improvement
03-13,"30, green lights exterior lights, On. Landing Clearance.",30 green light extra. It's a on landing clearance.,30 green light extracts are on landing clearance,30 green light extra rights are on landing clearance,30 green light extract on landing clearance,0.625,3,0,2,lights->it | exterior->s | lights->a,,light | extra,0.375,3,0,0,lights->light | exterior->extracts | lights->are,,,0.5,3,0,1,lights->extra | exterior->rights | lights->are,,light,0.375,2,1,0,exterior->light | lights->extract,lights,,-0.25,Improvement,-0.125,Improvement,-0.125,Improvement,-0.25,Improvement
03-14,Obtain Runway 18R. Landing checklist complete,Obtaining one and right my check is complete.,t in runway 18r main track is complete,update in runway 18r manjack is complete,update in runway 18r jet is complete,1.1666666666666667,5,0,2,obtain->and | runway->right | 18r->my | landing->check | checklist->is,,obtaining | one,0.8333333333333334,3,0,2,obtain->in | landing->track | checklist->is,,t | main,0.6666666666666666,3,0,1,obtain->in | landing->manjack | checklist->is,,update,0.6666666666666666,3,0,1,obtain->in | landing->jet | checklist->is,,update,-0.33333333333333337,Improvement,0.0,Same,-0.5000000000000001,Improvement,-0.5000000000000001,Improvement
03-15,And 950 on profile.,"And uh, 950 on profile.",and 950 on profile,and 950 on profile,and 9 50 on profile,0.25,0,0,1,,,uh,0.0,0,0,0,,,,0.0,0,0,0,,,,0.5,1,0,1,950->50,,9,-0.25,Improvement,0.5,Worsen,-0.25,Improvement,0.25,Worsen
03-16,2 red 2 whites.,3828,283 whites,282 whites,283 whites,1.0,1,3,0,whites->3828,2 | red | 2,,0.75,1,2,0,2->283,2 | red,,0.75,1,2,0,2->282,2 | red,,0.75,1,2,0,2->283,2 | red,,-0.25,Improvement,0.0,Same,-0.25,Improvement,-0.25,Improvement
03-17,and stablized.,And stabilized.,and stabilized,and stabilized,and stabilized,0.5,1,0,0,stablized->stabilized,,,0.5,1,0,0,stablized->stabilized,,,0.5,1,0,0,stablized->stabilized,,,0.5,1,0,0,stablized->stabilized,,,0.0,Same,0.0,Same,0.0,Same,0.0,Same
03-18,And WAYBI final approach fix 2600 feet.,And maybe final push fix 2600 feet.,and maybe final push fix 2600 feet,and way be final approach fix 2600 feet advice apc,and way be final approach fix 2600 feet advice apc,0.2857142857142857,2,0,0,waybi->maybe | approach->push,,,0.2857142857142857,2,0,0,waybi->maybe | approach->push,,,0.5714285714285714,1,0,3,waybi->be,,way | advice | apc,0.5714285714285714,1,0,3,waybi->be,,way | advice | apc,0.0,Same,0.0,Same,0.2857142857142857,Worsen,0.2857142857142857,Worsen
03-19,Runway in sight. Joining downwind Runway 18R.,Probably Insight and joining Darwin Rahway want it right.,rally inside join darwin rally 18r,rally inside joining darwin rally 18r,rally inside joining downwind rally 18r,1.1428571428571428,6,0,2,runway->probably | in->insight | sight->and | downwind->want | runway->it | 18r->right,,darwin | rahway,0.8571428571428571,5,1,0,in->rally | sight->inside | joining->join | downwind->darwin | runway->rally,runway,,0.7142857142857143,4,1,0,in->rally | sight->inside | downwind->darwin | runway->rally,runway,,0.5714285714285714,3,1,0,in->rally | sight->inside | runway->rally,runway,,-0.2857142857142857,Improvement,-0.1428571428571429,Improvement,-0.4285714285714285,Improvement,-0.5714285714285714,Improvement
03-20,Busan Tower Singapore 616 runway in sight. Joining downwind runway 18R.,Busan Towers Singapore 616 runway inside Join Darwin. When we want it right?,busan tower singapore 616 bramway inside join bramway bramway 18 rides,busan tower singapore 616 runway inside joining downwind runway 18r,busan tower sx16 runway inside joining downwind runway 18r,0.8181818181818182,7,0,2,tower->towers | in->darwin | sight->when | joining->we | downwind->want | runway->it | 18r->right,,inside | join,0.6363636363636364,7,0,0,runway->bramway | in->inside | sight->join | joining->bramway | downwind->bramway | runway->18 | 18r->rides,,,0.18181818181818182,1,1,0,sight->inside,in,,0.36363636363636365,2,2,0,616->sx16 | sight->inside,singapore | in,,-0.18181818181818188,Improvement,0.18181818181818182,Worsen,-0.6363636363636365,Improvement,-0.4545454545454546,Improvement
03-21,Joining downwind runway 18R and to land runway 18R. Singapore 616.,"Actually joined WWE 1/8 right And uh, we had to land runway 1/8 right?",and clear join down runway 18r and clear to land runway 18r singapore 616,and cleared join downwind 18r and head to land runway 18r singapore 616,and cleared to join downwind 18r and head to land runway 18r singapore 616,1.0909090909090908,7,0,5,joining->wwe | downwind->1 | runway->8 | 18r->right | 18r->1 | singapore->8 | 616->right,,actually | joined | uh | we | had,0.45454545454545453,2,0,3,joining->join | downwind->down,,and | clear | clear,0.45454545454545453,3,0,2,joining->cleared | downwind->join | runway->downwind,,and | head,0.5454545454545454,3,0,3,joining->to | downwind->join | runway->downwind,,and | cleared | head,-0.6363636363636362,Improvement,0.09090909090909088,Worsen,-0.6363636363636362,Improvement,-0.5454545454545454,Improvement
03-22,Confirm,Confirm,fum fum,confirm,confirm,0.0,0,0,0,,,,2.0,1,0,1,confirm->fum,,fum,0.0,0,0,0,,,,0.0,0,0,0,,,,2.0,Worsen,0.0,Same,0.0,Same,0.0,Same
03-23,Execute confirm.,Execute confirm.,execute confirm,execute confirm,xq confirm,0.0,0,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,,,,0.5,1,0,0,execute->xq,,,0.0,Same,0.5,Worsen,0.0,Same,0.5,Worsen
03-24,Heading Sel.,,i think so,exhale,exhale,1.0,0,2,0,,heading | sel,,1.5,2,0,1,heading->think | sel->so,,i,1.0,1,1,0,sel->exhale,heading,,1.0,1,1,0,sel->exhale,heading,,0.5,Worsen,0.0,Same,0.0,Same,0.0,Same
03-25,and alt hold missed approach altitude is 6000,And who misapproached her? Dude is 6000,and out full miss approach already is 6000 feet,and alt 4 oo missed approach already due it s 6000 feet,alt hold missed approach already due 6000ft,0.625,4,1,0,hold->who | missed->misapproached | approach->her | altitude->dude,alt,,0.625,4,0,1,alt->out | hold->full | missed->miss | altitude->already,,feet,0.875,3,0,4,hold->oo | altitude->it | is->s,,4 | already | due | feet,0.5,3,1,0,altitude->already | is->due | 6000->6000ft,and,,0.0,Same,-0.375,Improvement,0.25,Worsen,-0.125,Improvement
